	Original			Reduced			
Input	n	m	T	n'	m'	T'	Time
instance001	53	80	4	2	1	1	0.002
instance003	2500	5000	5	1834	4285	5	0.165
instance005	2500	62500	5	2500	19971	5	4.526
instance007	157	266	6	10	13	4	0.003
instance009	57	84	8	15	20	6	0.002
instance011	64	288	8	64	288	8	0.011
instance013	640	960	9	319	635	9	0.023
instance015	640	960	9	304	612	9	0.022
instance017	640	960	9	324	642	9	0.041
instance019	640	4135	9	640	4135	9	0.136
instance021	640	4135	9	640	4135	9	0.124
instance023	640	204480	9	640	204467	9	1.627
instance025	640	204480	9	640	204460	9	2.385
instance027	90	135	10	7	9	4	0.003
instance029	179	293	10	0	0	0	0.003
instance031	298	503	10	0	0	0	0.008
instance033	331	560	10	0	0	0	0.006
instance035	609	932	10	26	37	7	0.009
instance037	777	1239	10	0	0	0	0.02
instance039	875	1522	10	7	9	3	0.025
instance041	898	1562	10	0	0	0	0.018
instance043	918	1684	10	10	14	5	0.016
instance045	1290	2270	10	5	6	3	0.037
instance047	2500	5000	10	1878	4333	10	0.564
instance049	3221	5938	10	494	883	10	1.39
instance051	2500	12500	10	2481	10029	10	0.913
instance053	128	227	11	84	150	9	0.01
instance055	191	302	11	16	24	6	0.006
instance057	237	390	11	11	16	5	0.005
instance059	278	478	11	0	0	0	0.006
instance061	353	608	11	2	1	1	0.007
instance063	572	963	11	71	117	8	0.026
instance065	720	1269	11	24	36	7	0.02
instance067	3675	6709	11	919	1579	11	0.323
instance069	64	192	12	64	192	12	0.228
instance071	233	386	12	0	0	0	0.004
instance073	386	653	12	0	0	0	0.008
instance075	818	1462	12	265	453	11	0.071
instance077	1981	3633	12	434	753	11	0.22
instance079	4045	7094	12	207	343	11	0.25
instance081	110	188	13	42	66	11	0.009
instance083	346	583	13	42	65	9	0.016
instance085	125	750	13	125	516	13	0.158
instance087	125	750	13	125	750	13	1.546
instance089	933	1632	13	7	9	4	0.033
instance091	1359	2458	13	18	27	6	0.04
instance093	165	274	14	0	0	0	0.003
instance095	418	723	14	31	47	7	0.007
instance097	1196	2084	14	87	142	8	0.026
instance099	193	369	15	125	236	15	0.035
instance101	311	579	16	201	367	15	0.073
instance103	402	690	16	0	0	0	0.012
instance105	712	1217	16	204	350	15	0.03
instance107	837	1438	16	193	330	13	0.035
instance109	1051	1791	16	261	447	16	0.047
instance111	1848	3286	16	19	28	5	0.058
instance113	6405	10454	16	2206	3776	10	0.63
instance115	122	194	17	0	0	0	0.002
instance117	220	374	17	0	0	0	0.004
instance119	310	514	17	0	0	0	0.008
instance121	343	559	17	44	69	10	0.009
instance123	2039	3548	17	129	219	16	0.06
instance125	211	380	18	158	281	18	0.03
instance127	1709	2963	18	87	137	13	0.063
instance129	3738	7013	18	344	622	13	1.131
instance131	189	353	19	165	311	18	0.022
instance133	321	540	20	104	160	16	0.018
instance135	3683	6717	20	702	1192	17	0.414
instance137	529	1032	21	363	702	21	0.602
instance139	770	1383	21	71	116	16	0.026
instance141	233	431	22	163	298	20	0.183
instance143	828	1472	22	271	454	18	0.056
instance145	132	230	23	113	196	23	0.005
instance147	3983	7108	23	96	149	20	0.12
instance149	493	963	24	387	751	24	0.237
instance151	8007	14743	24	2740	4832	23	3.147
instance153	246	468	25	214	402	25	0.056
instance155	58	1653	25	37	122	11	0.005
instance157	2213	4135	25	79	130	13	0.093
instance159	3636	6789	25	106	178	15	0.191
instance161	640	40896	25	640	40887	25	
instance163	640	40896	25	640	40876	25	
instance165	640	40896	25	640	40872	25	
instance167	396	781	26	329	657	26	2.805
instance169	243	497	27	201	413	27	1.601
instance171	243	1215	27	241	1066	25	
instance173	243	1215	27	243	1215	27	
instance175	307	559	28	246	445	28	0.107
instance177	245	436	29	171	299	25	0.038
instance179	1724	2975	29	217	369	26	0.168
instance181	8013	14749	30	4005	7171	29	5.285
instance183	1199	2078	31	122	193	22	0.047
instance185	437	838	33	390	751	33	0.231
instance187	1244	2474	34	1147	2292	33	2.901
instance189	8017	14753	36	2851	5068	36	3.733
instance191	2132	3702	37	413	728	29	0.321
instance193	603	1207	38	517	1041	38	0.675
instance195	550	5013	50	550	5013	50	
instance197	10393	18043	104	3635	6528	88	33.45
instance199	6163	10490	130	3040	5376	109	9.278
Score							94|83.143
